pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:ESD_DP2_vic:rail:ESD_DP3_walkway_1","vic:rail:ESD_DP2","vic:rail:ESD_DP3","1","1","30"
"15543_22253_walkway_1","15543","22253","1","1","1800"
"vic:rail:RMD_EN1_26263_walkway_1","vic:rail:RMD_EN1","26263","1","1","102"
"vic:rail:RMD_EN1_vic:rail:RMD_CN1_stairs_1","vic:rail:RMD_EN1","vic:rail:RMD_CN1","2","1","18"
"vic:rail:RMD_EN2_26263_walkway_1","vic:rail:RMD_EN2","26263","1","1","72"
"vic:rail:RMD_EN2_vic:rail:RMD_DP17_walkway_1","vic:rail:RMD_EN2","vic:rail:RMD_DP17","1","1","30"
"vic:rail:RMD_EN3_vic:rail:RMD_DP6_stairs_1","vic:rail:RMD_EN3","vic:rail:RMD_DP6","2","1","6"
"vic:rail:RMD_EN4_vic:rail:RMD_DP6_walkway_1","vic:rail:RMD_EN4","vic:rail:RMD_DP6","1","1","54"
"vic:rail:RMD_CN1_vic:rail:RMD_DP1_fare_gate_0","vic:rail:RMD_CN1","vic:rail:RMD_DP1","6","0","18"
"vic:rail:RMD_DP1_vic:rail:RMD_CN1_exit_gate_0","vic:rail:RMD_DP1","vic:rail:RMD_CN1","7","0","18"
"vic:rail:RMD_CN1_vic:rail:RMD_DP6_walkway_1","vic:rail:RMD_CN1","vic:rail:RMD_DP6","1","1","78"
"vic:rail:RMD_CN1_vic:rail:RMD_DP17_walkway_1","vic:rail:RMD_CN1","vic:rail:RMD_DP17","1","1","30"
"vic:rail:RMD_DP1_12253_walkway_1","vic:rail:RMD_DP1","12253","1","1","66"
"vic:rail:RMD_DP1_vic:rail:RMD_DP2_walkway_1","vic:rail:RMD_DP1","vic:rail:RMD_DP2","1","1","12"
"vic:rail:RMD_DP2_12254_walkway_1","vic:rail:RMD_DP2","12254","1","1","66"
"vic:rail:RMD_DP2_12255_walkway_1","vic:rail:RMD_DP2","12255","1","1","66"
"vic:rail:RMD_DP2_12256_walkway_1","vic:rail:RMD_DP2","12256","1","1","66"
"vic:rail:RMD_DP2_vic:rail:RMD_DP3_walkway_1","vic:rail:RMD_DP2","vic:rail:RMD_DP3","1","1","12"
"vic:rail:RMD_DP3_22247_walkway_1","vic:rail:RMD_DP3","22247","1","1","120"
"vic:rail:RMD_DP3_12257_walkway_1","vic:rail:RMD_DP3","12257","1","1","66"
"vic:rail:RMD_DP3_12258_walkway_1","vic:rail:RMD_DP3","12258","1","1","66"
"vic:rail:RMD_DP3_vic:rail:RMD_DP4_walkway_1","vic:rail:RMD_DP3","vic:rail:RMD_DP4","1","1","12"
"vic:rail:RMD_DP4_12259_walkway_1","vic:rail:RMD_DP4","12259","1","1","66"
"vic:rail:RMD_DP4_12260_walkway_1","vic:rail:RMD_DP4","12260","1","1","66"
"vic:rail:RMD_DP4_vic:rail:RMD_DP5_walkway_1","vic:rail:RMD_DP4","vic:rail:RMD_DP5","1","1","12"
"vic:rail:RMD_DP5_12262_walkway_1","vic:rail:RMD_DP5","12262","1","1","66"
"vic:rail:RMD_DP5_12261_walkway_1","vic:rail:RMD_DP5","12261","1","1","66"
"vic:rail:RMD_DP5_vic:rail:RMD_DP6_exit_gate_0","vic:rail:RMD_DP5","vic:rail:RMD_DP6","7","0","12"
"vic:rail:RMD_DP6_vic:rail:RMD_DP5_fare_gate_0","vic:rail:RMD_DP6","vic:rail:RMD_DP5","6","0","12"
"vic:rail:RMD_DP7_12253_stairs_1","vic:rail:RMD_DP7","12253","2","1","18"
"vic:rail:RMD_DP7_vic:rail:RMD_DP8_walkway_1","vic:rail:RMD_DP7","vic:rail:RMD_DP8","1","1","12"
"vic:rail:RMD_DP8_12254_stairs_1","vic:rail:RMD_DP8","12254","2","1","18"
