route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"6-c06-mjp-1","","6","Chewton - Castlemaine Via Loddon Prison","3","FF8200","FFFFFF"
"6-C27-mjp-1","","C27","Smythesdale - Delacombe Via Haddon","3","FF8200","FFFFFF"
"6-cc2-mjp-1","","2","Colac - Colac West Via Fyans St","3","FF8200","FFFFFF"
"6-CL1-mjp-1","","1","Colac - Elliminyt Via Lavers Hill Rd","3","FF8200","FFFFFF"
"6-CL3-mjp-1","","3","Colac East - Colac Via Church St","3","FF8200","FFFFFF"
"6-CMO-mjp-1","","","Marengo - Colac Via Forrest, Skenes Creek, Apollo Bay","3","FF8200","FFFFFF"
"6-CMO-mjp-2","","","Marengo - Colac Via Forrest, Skenes Creek, Apollo Bay","3","FF8200","FFFFFF"
"6-cob-mjp-1","","","Cobram Via Cobram","3","FF8200","FFFFFF"
"6-DWB-mjp-1","","Wangaratta-Bright","Bright - Wangaratta Via Bright","3","FF8200","FFFFFF"
"6-Ec4-mjp-1","","4","Echuca - Cunningham Downs Retirement Village Via Echuca","3","FF8200","FFFFFF"
"6-Ec5-mjp-1","","5","Echuca - 24 Lane Via Moama","3","FF8200","FFFFFF"
"6-Eur-mjp-1","","","Euroa - Shepparton Via Kialla","3","FF8200","FFFFFF"
"6-G73-mjp-1","","73","Willowbank Rd - Gisborne Station Via Town Centre","3","FF8200","FFFFFF"
"6-G74-mjp-1","","74","Willowbank Rd - Gisborne Station Via Town Centre","3","FF8200","FFFFFF"
"6-G77-mjp-1","","77","Bullengarook CFA - Gisborne Via Bullengarook CFA","3","FF8200","FFFFFF"
"6-GIV-mjp-1","","","Inverleigh - Corio St/Moorabool St (Geelong) Via Fyansford","3","FF8200","FFFFFF"
"6-gvc-mjp-1","","","Grantville - Coronet Bay Via Grantville","3","FF8200","FFFFFF"
"6-H46-mjp-1","","H46","Wangaratta - Glenrowan Via Wangaratta","3","FF8200","FFFFFF"
"6-HA2-mjp-1","","2","Hamilton (Route 2) Via Kent Rd","3","FF8200","FFFFFF"
"6-HA3-mjp-1","","3","Hamilton (Route 3) Via Ballarat Rd","3","FF8200","FFFFFF"
"6-hea-mjp-1","","","Heathcote - Bendigo Via Junortoun, Axedale, Knowsley","3","FF8200","FFFFFF"
"6-hea-mjp-3","","","Heathcote - Bendigo Via Junortoun, Axedale, Knowsley","3","FF8200","FFFFFF"
"6-hep-mjp-1","","","Creswick - Hepburn Via Daylesford","3","FF8200","FFFFFF"
"6-Hpt-mjp-1","","","Penshurst - Hamilton Via Tarrington","3","FF8200","FFFFFF"
"6-HR1-mjp-1","","1","Shirley Street - Natimuk Road Via Town Centre","3","FF8200","FFFFFF"
"6-HR2-mjp-1","","2","Shirley Street - Natimuk Road Via Town Centre, Hospital","3","FF8200","FFFFFF"
"6-HR3-mjp-1","","3","South Bank - Wawunna Road Via Town Centre","3","FF8200","FFFFFF"
"6-HR4-mjp-1","","4","Haven - Horsham Via Haven","3","FF8200","FFFFFF"
"6-HR5-mjp-1","","5","Horsham Station - Roberts Ave Via Horsham Station","3","FF8200","FFFFFF"
"6-KeE-mjp-1","","","Kerang - Echuca Via Kerang","3","FF8200","FFFFFF"
"6-KWR-mjp-2","","","Pakenham - Koo Wee Rup Via Pakenham","3","FF8200","FFFFFF"
"6-KWR-mjp-3","","","Pakenham - Koo Wee Rup Via Pakenham","3","FF8200","FFFFFF"
"6-KWR-mjp-4","","","Pakenham - Koo Wee Rup Via Pakenham","3","FF8200","FFFFFF"
"6-KY1-mjp-1","","1","Kyneton Town Centre - Kyneton Station Via Kyneton Town Centre","3","FF8200","FFFFFF"
"6-KY2-mjp-1","","2","Kyneton Station - Kyneton Town Centre Via Kyneton Station","3","FF8200","FFFFFF"
"6-KY3-mjp-1","","3","Kyneton Town Centre - Kyneton Station Via Kyneton Town Centre","3","FF8200","FFFFFF"
"6-KY4-mjp-1","","4","Kyneton Town Centre - Trentham Via Kyneton Town Centre","3","FF8200","FFFFFF"
"6-Kym-mjp-1","","","Kyneton Town Centre - Malmsbury Via Kyneton Town Centre","3","FF8200","FFFFFF"
"6-La1-mjp-1","","1","Lakes Entrance - Kalimna Via Lakes Entrance","3","FF8200","FFFFFF"
"6-La2-mjp-1","","2","Lakes Entrance - Lakes Entrance (North) Via Lakes Entrance","3","FF8200","FFFFFF"
"6-La3-mjp-1","","3","Lakes Entrance - Lakes Entrance (East) Via Lakes Entrance","3","FF8200","FFFFFF"
"6-LcS-mjp-1","","","Lancefield - Sunbury Via Lancefield","3","FF8200","FFFFFF"
"6-LGs-mjp-1","","","Lancefield - Gisborne Town Centre Via Lancefield","3","FF8200","FFFFFF"
"6-M40-mjp-1","","400","Mildura Central SC Via East Mildura","3","FF8200","FFFFFF"
"6-M41-mjp-1","","401","Mildura City Via East Mildura","3","FF8200","FFFFFF"
"6-M50-mjp-1","","500","Mildura Central SC Via West Mildura","3","FF8200","FFFFFF"
"6-M51-mjp-1","","501","Mildura City Via West Mildura","3","FF8200","FFFFFF"
"6-M60-mjp-1","","600","Mildura Central SC Via Mildura Central SC","3","FF8200","FFFFFF"
"6-M61-mjp-1","","601","Mildura Central SC Via Mildura South","3","FF8200","FFFFFF"
"6-M62-mjp-1","","602","Mildura City Via Mildura City","3","FF8200","FFFFFF"
"6-Ma1-mjp-1","","","Glassford Street - Maffra Post Office Via Maffra Hospital","3","FF8200","FFFFFF"
"6-Mab-mjp-1","","","Maryborough - Maryborough Station Via Maryborough","3","FF8200","FFFFFF"
"6-mal-mjp-2","","","Genoa - Mallacoota Via Gipsy Point","3","FF8200","FFFFFF"
"6-MB3-mjp-1","","3","Pascoe - Maryborough Via Loch St","3","FF8200","FFFFFF"
"6-MB4-mjp-1","","4","Maryborough Education Centre - Maryborough Via Gladstone St","3","FF8200","FFFFFF"
"6-MiS-mjp-1","","","Mildura - Sea Lake Via Ouyen","3","FF8200","FFFFFF"
"6-MLH-mjp-1","","","Horsham - Mildura Via Ouyen, Warracknabeal","3","FF8200","FFFFFF"
"6-MtB-mjp-1","","","Mt Beauty - Albury Via Baranduda, Kergunya, Tawonga South","3","FF8200","FFFFFF"
"6-MtE-mjp-1","","","Mt Egerton - Ballarat Via Gordon","3","FF8200","FFFFFF"
"6-MUR-mjp-1","","","Rupanyup Via Rupanyup","3","FF8200","FFFFFF"
"6-Mx1-mjp-1","","1","Hedges - Maryborough Via Derby Rd","3","FF8200","FFFFFF"
"6-Mx2-mjp-1","","2","Princes Park/Whirrakee - Maryborough Via Holyrood St","3","FF8200","FFFFFF"
"6-Nar-mjp-1","","","Naracoorte - Horsham Via Natimuk, Goroke, Edenhope","3","FF8200","FFFFFF"
"6-ome-mjp-1","","","Bright - Omeo Via Hotham Heights","3","FF8200","FFFFFF"
"6-ome-mjp-2","","","Bright - Omeo Via Hotham Heights","3","FF8200","FFFFFF"
"6-Ouy-mjp-1","","","Ouyen - Pinnaroo Via Mallee Hwy","3","FF8200","FFFFFF"
"6-PT1-mjp-1","","1","Portland Via Portland","3","FF8200","FFFFFF"
"6-PT2-mjp-1","","2","Portland Via Portland","3","FF8200","FFFFFF"
"6-R01-mjp-1","","","Restdown Retirement Village Via Restdown Retirement Village","3","FF8200","FFFFFF"
"6-R11-mjp-1","","","Donald - Horsham Via Murtoa, Rupanyup, Minyip","3","FF8200","FFFFFF"
"6-R12-mjp-1","","","Swan Hill - Sea Lake Via Lake Boga or Ultima","3","FF8200","FFFFFF"
"6-R13-mjp-1","","","Birchip - Horsham Via Warracknabeal","3","FF8200","FFFFFF"
"6-R14-mjp-1","","","Hopetoun - Horsham Via Dimboola, Rainbow","3","FF8200","FFFFFF"
"6-R21-mjp-1","","","Robinvale - Mildura Via Euston","3","FF8200","FFFFFF"
"6-R22-mjp-1","","","Ballarat - Stawell Via Ararat, Beaufort","3","FF8200","FFFFFF"
"6-R30-mjp-1","","5","Taradale - Castlemaine Via Chewton, Elphinstone","3","FF8200","FFFFFF"
