route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"6-Ar3-mjp-1","T0","2.T0.6-Ar3-mjp-1.2.H","6-Ar3-mjp-1.2.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T2","2.T2.6-Ar3-mjp-1.2.H","6-Ar3-mjp-1.2.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T0","3.T0.6-Ar3-mjp-1.2.H","6-Ar3-mjp-1.2.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T2","3.T2.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T0","4.T0.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T2","4.T2.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T0","5.T0.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T2","5.T2.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T0","6.T0.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-Ar3-mjp-1","T0","7.T0.6-Ar3-mjp-1.3.H","6-Ar3-mjp-1.3.H","Ararat North","0","","1"
"6-ArM-mjp-1","T0+WD10","1.T0.6-ArM-mjp-1.2.H","6-ArM-mjp-1.2.H","Maryborough","0","","1"
"6-ArM-mjp-1","T2","1.T2.6-ArM-mjp-1.1.H","6-ArM-mjp-1.1.H","Maryborough","0","","1"
"6-ArM-mjp-1","T0+WD10","2.T0.6-ArM-mjp-1.2.H","6-ArM-mjp-1.2.H","Maryborough","0","","1"
"6-ArM-mjp-1","T2","2.T2.6-ArM-mjp-1.1.H","6-ArM-mjp-1.1.H","Maryborough","0","","1"
"6-ArM-mjp-1","T0+WD10","3.T0.6-ArM-mjp-1.4.R","6-ArM-mjp-1.4.R","Ararat","1","","1"
"6-ArM-mjp-1","T2","3.T2.6-ArM-mjp-1.3.R","6-ArM-mjp-1.3.R","Ararat","1","","1"
"6-ArM-mjp-1","T0+WD10","4.T0.6-ArM-mjp-1.4.R","6-ArM-mjp-1.4.R","Ararat","1","","1"
"6-ArM-mjp-1","T2","4.T2.6-ArM-mjp-1.3.R","6-ArM-mjp-1.3.R","Ararat","1","","1"
"6-ArS-mjp-1","T0","1.T0.6-ArS-mjp-1.1.H","6-ArS-mjp-1.1.H","Ararat","0","","2"
"6-ArS-mjp-1","T0","2.T0.6-ArS-mjp-1.1.H","6-ArS-mjp-1.1.H","Ararat","0","","2"
"6-ArS-mjp-1","T0","3.T0.6-ArS-mjp-1.2.R","6-ArS-mjp-1.2.R","Stawell","1","","2"
"6-ArS-mjp-1","T0","4.T0.6-ArS-mjp-1.2.R","6-ArS-mjp-1.2.R","Stawell","1","","2"
"6-b29-mjp-1","T0+WD04","1.T0.6-b29-mjp-1.1.H","6-b29-mjp-1.1.H","Maryborough","0","","2"
"6-b29-mjp-1","T0+WD04","2.T0.6-b29-mjp-1.2.R","6-b29-mjp-1.2.R","Bendigo","1","","2"
"6-BM8-mjp-1","T0+WD08","1.T0.6-BM8-mjp-1.1.H","6-BM8-mjp-1.1.H","Barmah","0","","2"
"6-BM8-mjp-1","T0+WD08","2.T0.6-BM8-mjp-1.1.H","6-BM8-mjp-1.1.H","Barmah","0","","2"
"6-BM8-mjp-1","T0+WD08","3.T0.6-BM8-mjp-1.2.R","6-BM8-mjp-1.2.R","Echuca","1","","2"
