route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"11-box-mjp-1","T0","5.T0.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T2","5.T2.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T3","5.T3.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T0","6.T0.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T2","6.T2.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T3","6.T3.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T0","7.T0.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T2","7.T2.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T3","7.T3.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T0","8.T0.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T2","8.T2.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T3","8.T3.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T0","9.T0.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T2","9.T2.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T3","9.T3.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-SK4-mjp-1","T0_1","1.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2_1","1.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3_1","1.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UU","1.UU.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UZ","1.UZ.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0_1","10.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2_1","10.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","10.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","10.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","10.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0_1","11.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2_1","11.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","11.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","11.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","11.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0_1","12.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2_1","12.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","12.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","12.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","12.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
